x,y,z
70.229,88.637,-0.001
70.317,88.591,-0.001
70.405,88.544,-0.001
70.495,88.497,-0.001
70.583,88.451,-0.001
70.672,88.404,-0.001
70.76,88.358,-0.001
70.849,88.311,-0.001
70.937,88.265,-0.001
71.026,88.219,-0.001
71.114,88.173,-0.001
71.202,88.126,-0.001
71.292,88.08,-0.001
71.38,88.033,-0.001
71.469,87.987,-0.001
71.557,87.94,-0.001
71.646,87.894,-0.001
71.734,87.847,-0.001
71.823,87.801,-0.001
71.911,87.754,-0.001
71.999,87.708,-0.001
72.089,87.661,-0.001
72.177,87.615,-0.001
72.266,87.569,-0.001
72.354,87.522,-0.001
72.443,87.476,-0.001
72.531,87.429,-0.001
72.619,87.383,-0.001
72.708,87.336,-0.001
72.796,87.29,-0.001
72.886,87.243,-0.001
72.974,87.197,-0.001
73.062,87.15,-0.001
73.151,87.104,-0.001
73.24,87.057,-0.001
73.328,87.011,-0.001
73.417,86.966,-0.001
73.505,86.92,-0.001
73.594,86.873,-0.001
73.682,86.827,-0.001
73.772,86.781,-0.001
73.861,86.734,-0.001
73.949,86.688,-0.001
74.038,86.642,-0.001
74.126,86.595,-0.001
74.215,86.549,-0.001
74.303,86.503,-0.001
74.392,86.456,-0.001
74.48,86.41,-0.001
74.57,86.365,-0.001
74.659,86.319,-0.001
74.747,86.272,-0.001
74.836,86.226,-0.001
74.924,86.18,-0.001
75.013,86.134,-0.001
75.102,86.088,-0.001
75.19,86.042,-0.001
75.279,85.996,-0.001
75.368,85.95,-0.001
75.457,85.903,-0.001
75.546,85.857,-0.001
75.635,85.811,-0.001
75.723,85.766,-0.001
75.812,85.72,-0.001
75.901,85.674,-0.001
75.989,85.628,-0.001
76.078,85.582,-0.001
76.167,85.535,-0.001
76.255,85.489,-0.001
76.345,85.443,-0.001
76.434,85.397,-0.001
76.522,85.351,-0.001
76.611,85.305,-0.001
76.7,85.259,-0.001
76.788,85.214,-0.001
76.877,85.167,-0.001
76.966,85.121,-0.001
77.054,85.075,-0.001
77.143,85.029,-0.001
77.233,84.983,-0.001
77.321,84.937,-0.001
77.41,84.89,-0.001
77.498,84.843,-0.001
